,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
52,2019,25.5242529163,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
53,2020,25.4357210575,NV.IND.TOTL.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
54,2015,44.8913203384,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
55,2016,47.5578070077,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
56,2017,49.7017251037,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
57,2018,52.2509114518,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
58,2019,48.8232665252,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
59,2020,41.3879462449,NV.IND.TOTL.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
60,2015,11.5115961335,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
61,2016,13.1860669824,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
62,2017,13.3363222237,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
63,2018,12.6070295882,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
64,2019,12.8884732082,NV.IND.TOTL.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
65,2015,40.1538667105,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
66,2016,39.3054656012,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
67,2017,41.1768057615,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
68,2018,43.034849767,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
69,2019,42.2739005227,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
70,2020,40.5220393693,NV.IND.TOTL.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
71,2015,26.831394833,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
72,2016,27.3461176034,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
73,2017,27.750899983,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
74,2018,28.5369876541,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
75,2019,29.648678815,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
76,2020,28.789417385,NV.IND.TOTL.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
77,2015,32.6924281121,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
78,2016,30.9584092513,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
79,2017,31.5544850882,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
80,2018,31.2656097096,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
81,2019,31.7371287169,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
82,2020,31.3006271853,NV.IND.TOTL.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
83,2015,19.6698883181,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
84,2016,19.288220267,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
85,2017,19.2353624906,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
86,2018,18.9025959766,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
87,2019,19.1114145335,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
88,2020,19.2064797644,NV.IND.TOTL.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
89,2015,14.1171286269,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
90,2016,14.0898266604,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
91,2017,13.467414655,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
92,2018,11.9852455719,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
93,2019,12.8509461509,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
94,2020,11.3991186486,NV.IND.TOTL.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
95,2015,16.3850954445,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
96,2016,15.7020683118,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
97,2017,15.1075858508,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
98,2018,14.6536911363,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
99,2019,16.3125612016,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
100,2020,16.2905490529,NV.IND.TOTL.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
101,2015,5.1243804794,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
102,2016,5.3497936423,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
103,2017,5.509305385,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
104,2018,5.7025365262,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
105,2019,6.3851654832,NV.IND.TOTL.ZS,BMU,Bermuda,North America,High income,Not classified
106,2015,42.487085982400004,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
107,2016,42.5511112716,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
108,2017,41.8429636345,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
109,2018,38.2034608946,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
110,2019,36.1317436083,NV.IND.TOTL.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
111,2015,25.2024162839,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
112,2016,25.3263589798,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
113,2017,26.3699744281,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
114,2018,26.2465894715,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
115,2019,25.2102745512,NV.IND.TOTL.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
116,2015,22.6264079952,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
117,2016,23.246147899,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
118,2017,24.0022855513,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
119,2018,24.5234425217,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
120,2019,23.9642549619,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
121,2020,23.8713441477,NV.IND.TOTL.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
122,2015,29.9804632956,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
123,2016,32.0946303456,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
124,2017,29.8352209631,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
125,2018,29.461781515,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
126,2019,28.207333118,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
127,2020,25.0343598733,NV.IND.TOTL.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
128,2015,19.3600439775,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
129,2016,18.3547582771,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
130,2017,18.1885023094,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
131,2018,18.749051454,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
132,2019,18.4088426879,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
133,2020,17.6501088167,NV.IND.TOTL.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
134,2015,61.3623579705,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
135,2016,57.2883572517,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
136,2017,59.7205108761,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
137,2018,63.243645156,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
138,2019,62.5153213989,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
139,2020,59.0957785071,NV.IND.TOTL.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
140,2015,23.6765656605,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
141,2016,24.2025209767,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
142,2017,24.2525790738,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
143,2018,22.3452867088,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
144,2019,21.6187831489,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
145,2020,22.9700033519,NV.IND.TOTL.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
146,2015,24.3508115651,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
147,2016,24.8815173666,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
148,2017,25.14023722,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
149,2018,24.5141374586,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
150,2019,25.5796638071,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
151,2020,29.9634414241,NV.IND.TOTL.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
152,2015,11.7649457672,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
153,2016,12.2073630909,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
154,2017,10.9931298354,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
155,2018,11.1072170613,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
156,2019,10.9561343079,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
157,2020,10.6789943793,NV.IND.TOTL.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
158,2015,18.1214083184,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
159,2016,17.1303991381,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
160,2017,18.1919628959,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
161,2018,19.279245485,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
162,2019,19.6057641487,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
163,2020,23.0872476527,NV.IND.TOTL.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
164,2015,27.6795721131,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
165,2016,29.4519627453,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
166,2017,30.8489276135,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
167,2018,32.2893931182,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
168,2019,34.2260507178,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
169,2020,34.6707193379,NV.IND.TOTL.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
170,2015,25.1818474451,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
171,2016,24.4597344263,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
172,2017,25.2882782544,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
173,2018,25.7815155719,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
174,2019,26.0373799193,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
175,2020,25.0180436003,NV.IND.TOTL.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
176,2015,24.4156825469,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
177,2016,23.2953005456,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
178,2017,24.0278028871,NV.IND.TOTL.ZS,CAN,Canada,North America,High income,Not classified
179,2015,7.0060382973,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
180,2016,7.2839127904,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
181,2017,7.1947496633,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
182,2018,7.360039395,NV.IND.TOTL.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
183,2015,22.1252513485,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
184,2016,21.6382374371,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
185,2017,20.7372245547,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
186,2018,20.555755957,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
187,2019,20.5211544373,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
188,2020,20.8386939081,NV.IND.TOTL.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
189,2015,13.652134566,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
190,2016,13.6592291126,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
191,2017,14.6285477716,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
192,2018,14.3695188471,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
193,2019,14.2700509702,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
194,2020,16.9413105221,NV.IND.TOTL.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
195,2015,29.7760470449,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
196,2016,28.8855455707,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
197,2017,29.4435300843,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
198,2018,29.3891008688,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
199,2019,29.1089125146,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
200,2020,31.425855876500002,NV.IND.TOTL.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
201,2015,40.8413399695,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
202,2016,39.5806215023,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
203,2017,39.8516984492,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
204,2018,39.6870118234,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
205,2019,38.5874034176,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
206,2020,37.8209172526,NV.IND.TOTL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
207,2015,28.5894478881,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
208,2016,27.6891623118,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
209,2017,26.8148589146,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
210,2018,26.8954667536,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
211,2019,26.0532513318,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
212,2020,23.7848607699,NV.IND.TOTL.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
213,2015,10.408408156,NV.IND.TOTL.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
214,2016,9.8545180703,NV.IND.TOTL.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
215,2017,9.137350096,NV.IND.TOTL.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
216,2018,8.8606357367,NV.IND.TOTL.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
217,2019,8.853911472,NV.IND.TOTL.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
218,2015,41.7048638989,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
219,2016,41.161381629,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
220,2017,42.1917162229,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
221,2018,43.8165507152,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
222,2019,40.7337398441,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
223,2020,41.0482103603,NV.IND.TOTL.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
224,2015,47.801808001,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
225,2016,36.6095044222,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
226,2017,41.6909837171,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
227,2018,50.769360006,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
228,2019,48.0054492538,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
229,2020,40.0394219952,NV.IND.TOTL.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
230,2015,19.9678784678,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
231,2016,19.6500112825,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
232,2017,19.314539706,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
233,2018,19.6223684189,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
234,2019,19.1090997047,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
235,2020,19.6826407913,NV.IND.TOTL.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
236,2015,19.533060254,NV.IND.TOTL.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
237,2016,19.0948250052,NV.IND.TOTL.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
238,2017,20.463798877,NV.IND.TOTL.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
